left,right,total,patients
64794,66130,163324,206727
66228,64730,164936,204218
53856,53098,151684,111716
59856,63708,145698,105115
52680,56030,154518,103818
58624,61976,159204,127226
60288,60102,160948,206525
64768,66226,164408,413934
64088,60640,169462,130114
55372,56898,156750,211821
56462,62410,155936,122620
58626,59988,155690,255740
61102,59978,151528,123723
54954,57918,160476,123117
61450,60552,158476,219231
53998,56754,155302,238033
60458,60378,165876,127832
57436,59306,163808,191235
62494,66068,163002,401422
61110,57758,154590,329844
60808,59144,160312,145632
62306,59634,160724,342129
57486,57578,153934,101915
61178,61800,167984,152225
62084,61424,169118,257946
64348,64980,161524,349244
60734,60762,156316,106016
59282,56950,156448,151324
68158,63234,168502,165941
62212,58856,165896,130518
57488,55714,162830,120111
58050,58950,156170,136631
60984,58712,171190,143830
58488,65980,162000,100307
66054,59924,164690,299760
59924,60502,168406,138130
62806,56824,158134,227533
61738,65364,170036,147636
58316,48950,147384,105014
57140,59970,157610,510225
