left,right,total,patients
92380,85420,262368,206727
77486,77118,255690,204218
79150,74724,224110,111716
82962,87950,228902,105115
73296,74314,230198,103818
94274,101326,304630,127226
106096,94674,330384,206525
92818,97512,274972,413934
106072,94464,347504,130114
86788,90202,262412,211821
67158,88994,233502,122620
77772,72722,217024,255740
97914,94536,271532,123723
106738,95032,335560,123117
130656,86930,298278,219231
89816,84982,267602,238033
86026,87944,284470,127832
88234,89326,298330,191235
77678,80052,228598,401422
106744,90298,302222,329844
80824,85300,248702,145632
96506,103578,300828,342129
73676,78448,216116,101915
96228,97484,331614,152225
98878,88468,297436,257946
91838,77538,243802,349244
72196,80270,223752,106016
79116,76044,249990,151324
105274,110872,312330,165941
95062,82188,275438,130518
79716,86044,263126,120111
89226,86432,272646,136631
82202,83884,271970,143830
84000,71782,255384,100307
90872,88880,275220,299760
82442,66984,234232,138130
74880,70874,210804,227533
80328,78380,249970,147636
84474,66728,230682,105014
87066,76696,266486,510225
