left,right,total,patients
87366,74788,191448,206727
79332,73064,182306,204218
71978,59674,169100,111716
76040,65278,161358,105115
65218,62160,166694,103818
75924,71400,178824,127226
75130,62984,173306,206525
79456,74420,182872,413934
85922,70996,197862,130114
73312,64052,178250,211821
73834,69700,175788,122620
76552,67496,178188,255740
80634,65584,170152,123723
70988,62658,172486,123117
78324,69342,180354,219231
73142,66306,178946,238033
77388,71866,189734,127832
72004,64582,179230,191235
78388,74386,182758,401422
78860,68032,177798,329844
81714,68928,185158,145632
78878,69422,179972,342129
71610,67298,173762,101915
75586,65456,175500,152225
81454,66884,188512,257946
81716,74306,182728,349244
75030,66572,170314,106016
73332,65034,173300,151324
84636,69160,185022,165941
75510,61028,175134,130518
71468,60308,176452,120111
75498,68204,178946,136631
80146,69310,194504,143830
77542,71796,184606,100307
81196,67016,182500,299760
79448,66852,189164,138130
77788,65910,175702,227533
75252,69716,186240,147636
74418,57336,165232,105014
76256,71736,185622,510225
