left,right,total,patients
442236,368840,1078882,206727
404828,358716,1079640,204218
350140,316166,923804,111716
354178,368146,919024,105115
353488,300580,933518,103818
470262,433170,1269968,127226
435372,391900,1235756,206525
466496,385578,1108816,413934
442446,413252,1343534,130114
425498,361302,1105932,211821
366984,356246,979204,122620
373646,327650,957160,255740
430792,374654,1042004,123723
400584,353872,1154096,123117
557062,363370,1229842,219231
433888,374398,1154046,238033
411606,397008,1142290,127832
400402,373440,1187740,191235
348478,348862,925910,401422
447970,398626,1190294,329844
397032,348294,1017496,145632
434902,397392,1148128,342129
330200,314882,887548,101915
422880,420576,1287404,152225
464514,378822,1216950,257946
395052,322316,987464,349244
363978,325674,903462,106016
356012,307568,942382,151324
464632,435462,1163484,165941
405192,344560,1056618,130518
385808,366014,1116952,120111
423204,362108,1130714,136631
380588,372408,1046714,143830
385950,323390,1037668,100307
438326,350968,1077080,299760
367052,283736,925398,138130
362154,318556,894366,227533
368598,333504,1016134,147636
396444,296656,961692,105014
425008,353278,1130114,510225
