left,right,total,patients
74198,65446,167816,206727
69072,61466,158024,204218
61900,52398,149708,111716
65788,60324,145058,105115
58004,56266,150108,103818
63580,55696,148622,127226
66002,57884,157900,206525
68824,65172,160674,413934
74880,64196,178978,130114
62148,55104,155530,211821
64280,61702,155658,122620
65122,58790,154020,255740
70150,55920,149134,123723
63600,56574,157642,123117
69598,59510,159928,219231
61958,57308,155598,238033
63708,58780,159156,127832
66008,56874,161418,191235
65980,62656,156336,401422
65728,55008,149104,329844
68568,59442,161300,145632
69482,62028,163478,342129
63506,57394,153484,101915
65820,58894,158470,152225
72698,61836,173282,257946
70792,60902,157906,349244
67478,58408,152610,106016
65400,57928,155324,151324
74368,65154,168440,165941
65200,57598,159892,130518
62436,55678,159462,120111
63880,56536,153792,136631
67062,59912,169164,143830
64622,63376,158656,100307
72136,59748,167022,299760
68114,59154,167400,138130
68254,54686,152546,227533
66360,65848,170822,147636
64274,46602,141728,105014
62466,58536,154710,510225
