left,right,total,patients
296864,259654,696440,206727
247692,229860,686040,204218
224114,202636,566926,111716
232596,237886,591464,105115
220124,209340,574114,103818
274362,277686,757744,127226
314166,253132,848820,206525
284190,277242,725984,413934
292404,271954,872158,130114
252430,253568,693712,211821
219812,223108,575680,122620
234300,215308,575966,255740
274344,259022,682036,123723
259374,235100,776236,123117
375356,231874,764140,219231
278930,234270,695574,238033
251002,240346,670900,127832
256040,248142,727552,191235
221598,227250,586332,401422
300160,242758,730226,329844
255098,237358,656874,145632
286312,263488,742904,342129
211846,203688,538182,101915
253978,264550,788192,152225
288552,256128,765438,257946
273304,210692,639314,349244
220740,218292,547174,106016
246816,214818,612374,151324
272484,314790,738202,165941
266966,230606,702118,130518
238540,230466,673148,120111
258600,249408,721102,136631
242380,256918,687540,143830
245938,195520,642168,100307
291420,247964,711060,299760
244952,187368,565226,138130
231154,200528,543670,227533
232708,222678,632374,147636
233770,188210,579966,105014
262050,215532,687536,510225
