left,right,total,patients
55486,51850,133618,206727
53654,49770,127778,204218
46778,41962,121022,111716
51496,49628,117964,105115
42660,45054,122696,103818
48026,45258,120528,127226
50270,45154,127980,206525
53256,52520,130980,413934
59558,53738,151940,130114
45802,44722,124358,211821
48164,46096,121440,122620
49476,45318,123308,255740
57238,48202,128356,123723
46796,45924,132218,123117
55194,46234,129680,219231
46150,46056,126506,238033
48004,48348,131288,127832
49718,45720,133212,191235
51878,52096,128746,401422
50674,42022,117750,329844
53440,46002,129570,145632
55250,49004,131870,342129
46816,42870,119294,101915
50694,48460,132516,152225
57752,49812,144110,257946
51598,49002,123808,349244
52940,46128,124124,106016
50580,44730,124344,151324
54190,51076,133062,165941
50900,44836,131646,130518
45814,40532,127170,120111
49566,46176,125968,136631
49592,46828,136600,143830
49504,49970,127274,100307
57428,49894,140038,299760
50000,45442,132700,138130
50838,41126,118058,227533
50086,53868,140500,147636
47478,35966,112026,105014
45794,43996,118186,510225
