left,right,total,patients
97814,84802,236880,206727
89460,77952,234836,204218
84754,75628,211090,111716
84754,89726,217888,105115
85380,74562,210496,103818
119010,103448,298508,127226
116262,92528,289470,206525
110554,97764,267104,413934
118668,100434,326846,130114
88364,94800,241780,211821
77970,83180,214130,122620
91806,78534,212988,255740
104690,91906,252126,123723
103314,98772,300500,123117
145706,97930,303012,219231
96298,92638,245456,238033
93306,79418,230840,127832
91946,85868,257284,191235
80480,73202,199388,401422
100074,96858,264516,329844
93134,82072,234794,145632
96578,92418,260568,342129
72450,70558,184276,101915
106778,95444,293788,152225
114510,95824,289278,257946
99784,72132,224870,349244
90260,80352,213706,106016
80498,90272,237444,151324
102134,117644,285138,165941
95778,78746,253268,130518
85868,93990,252310,120111
111094,89204,273082,136631
79770,90254,242786,143830
91888,71270,235418,100307
111674,99730,274548,299760
103948,68956,222458,138130
83698,79624,202842,227533
92756,78074,233600,147636
93530,71050,213464,105014
95752,74590,235764,510225
