left,right,total,patients
20124,20266,50874,206727
16640,15098,39098,204218
15190,12890,40870,111716
19290,16216,39358,105115
16424,15430,46772,103818
16970,17098,44134,127226
18350,16560,46144,206525
18196,15676,41892,413934
23644,19876,60252,130114
14516,14018,38060,211821
17658,15884,44002,122620
17950,16064,44078,255740
18008,14804,40668,123723
15892,16588,49786,123117
19270,13864,46214,219231
15836,14358,42278,238033
16012,16338,45728,127832
21122,17832,52952,191235
15686,17236,41644,401422
17140,11130,36364,329844
16776,16498,43188,145632
19114,16294,48626,342129
16264,13502,41166,101915
15854,17300,45620,152225
18464,17110,47792,257946
17806,15238,39848,349244
17890,15042,41930,106016
15282,14020,40594,151324
18876,18054,48354,165941
19892,13882,48060,130518
17938,14572,48032,120111
15160,13658,39986,136631
18452,17258,49676,143830
17310,18236,45778,100307
24102,17740,55182,299760
16520,13566,45620,138130
17680,12942,39322,227533
18096,18784,54468,147636
17836,10118,38264,105014
14750,13256,38918,510225
