left,right,total,patients
68766,69602,162816,206727
68962,65334,155320,204218
58250,52226,143506,111716
61688,62806,134478,105115
54130,58632,148282,103818
61282,58256,146544,127226
65538,60614,153384,206525
62726,64570,151474,413934
72630,67448,178656,130114
59172,56794,150252,211821
58440,63132,148846,122620
60344,59420,149852,255740
64726,58444,142546,123723
59458,63740,161338,123117
64638,61652,154296,219231
58342,60374,152940,238033
62928,64204,161538,127832
64456,63056,163160,191235
62192,63936,151384,401422
61916,56126,142500,329844
64684,59546,153782,145632
67390,64338,158594,342129
55306,57088,142740,101915
65790,65854,164976,152225
69540,62982,167772,257946
64354,60474,145666,349244
56190,56272,137322,106016
58090,59508,146950,151324
67534,65006,159392,165941
64980,59648,158664,130518
60326,56798,156000,120111
59962,58898,147774,136631
62558,61762,164774,143830
63954,63562,153112,100307
70884,67810,168788,299760
62950,60954,160078,138130
62472,54182,143226,227533
62710,69098,167764,147636
57202,48080,132134,105014
54508,56574,140432,510225
