left,right,total,patients
788780,703300,1778714,206727
689928,628116,1661422,204218
585380,560900,1556018,111716
674692,679246,1531084,105115
609486,563682,1621294,103818
740944,675960,1945794,127226
794150,687716,2009832,206525
711262,702778,1725386,413934
766336,745134,2211584,130114
604398,616092,1669998,211821
590090,663320,1558164,122620
580640,572282,1495828,255740
729882,680526,1708902,123723
638756,613592,1844904,123117
840896,611862,1872342,219231
675274,559396,1778134,238033
626454,615208,1660308,127832
696634,619766,1816292,191235
614712,607678,1567166,401422
703708,655856,1760364,329844
698172,534818,1635878,145632
761744,712228,1906756,342129
542882,506116,1430110,101915
694296,762432,2099322,152225
743754,662874,1878904,257946
683386,545174,1555558,349244
562842,510212,1443308,106016
603626,530582,1525898,151324
779240,768344,1893404,165941
722004,634780,1790092,130518
574500,576694,1639926,120111
682880,659604,1805668,136631
658216,634624,1719860,143830
633550,599290,1625864,100307
712166,672904,1766234,299760
624140,536072,1573326,138130
566916,571994,1456494,227533
589766,616194,1595588,147636
621910,439308,1398100,105014
628448,527994,1542088,510225
