aal,brainnatome,harvard,mindboggle
206727.0,151324.0,206727.0,206727.0
206525.0,299760.0,206525.0,206525.0
145632.0,211821.0,145632.0,145632.0
227533.0,103818.0,227533.0,227533.0
255740.0,413934.0,255740.0,255740.0
127226.0,238033.0,127226.0,127226.0
257946.0,130518.0,257946.0,257946.0
123117.0,342129.0,151324.0,123117.0
151324.0,165941.0,299760.0,151324.0
299760.0,111716.0,191235.0,299760.0
191235.0,152225.0,510225.0,191235.0
510225.0,136631.0,204218.0,510225.0
204218.0,147636.0,413934.0,204218.0
211821.0,130114.0,238033.0,211821.0
103818.0,105014.0,342129.0,103818.0
100307.0,101915.0,329844.0,413934.0
413934.0,,165941.0,238033.0
238033.0,,127832.0,130518.0
130518.0,,143830.0,342129.0
342129.0,,138130.0,329844.0
329844.0,,123723.0,165941.0
165941.0,,152225.0,111716.0
111716.0,,349244.0,127832.0
127832.0,,136631.0,143830.0
143830.0,,147636.0,138130.0
138130.0,,219231.0,105115.0
105115.0,,130114.0,152225.0
123723.0,,401422.0,122620.0
152225.0,,,106016.0
122620.0,,,349244.0
106016.0,,,136631.0
349244.0,,,147636.0
136631.0,,,120111.0
147636.0,,,219231.0
120111.0,,,130114.0
219231.0,,,105014.0
130114.0,,,101915.0
105014.0,,,401422.0
101915.0,,,
401422.0,,,
